mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
109958eb-a335-4c5e-907e-597ff4c6af46,Creedence Clearwater Revival,Creedence Clearwater Revival,rock; american; 60s; folk rock; blues rock; country rock; southern rock; classic rock; rock and roll; roots rock; swamp rock; classic pop and rock; rock & roll,Creedence Clearwater Revival,False
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,Frank Sinatra,pop; jazz; vocal; christmas; swing; big band; columbia; easy listening soundtracks and musicals; garland; chrismas; duets; swing; jazz; big band; christmas,Frank Sinatra,False
5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,Bon Jovi,rock; metal; american; band; hard rock; usa; glam rock; classic rock; acoustic rock; pop rock; glam metal; aor; pop and chart; hard fm,Bon Jovi,False
a466c2a2-6517-42fb-a160-1087c3bafd9f,Slipknot,Slipknot,metal; nu metal; new metal; alternative metal; rap metal; rock and indie,Slipknot,False
bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,Shakira,rock; pop; alternative; electropop; dance-pop; pop rock; latin pop; latin; colombian; merengue; classic pop and rock; barranquilla; atlantico,Shakira,False
5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,Dr. Dre,hip hop; producer; gangsta rap; pop rap; g-funk; rapper; classic pop and rock; west coast hip hop; hardcore hip hop; instrumental hip hop,Dr. Dre,False
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,Alicia Keys,pop; alternative rock; jazz; american; singer; neo-soul; soul; rnb; pianist; pop rap; neo soul; film soundtrack; hip hop rnb and dance hall; r&b; contemporary r&b,Alicia Keys,False
b6b2bb8d-54a9-491f-9607-7b546023b433,Pixies,Pixies,rock; alternative rock; american; punk rock; usa; indie rock; américain; acoustic rock; noise pop; 4ad; rock and indie; surfer music,Pixies,False
8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,Limp Bizkit,Limp Bizkit,rock; alternative rock; rap; metal; american; crossover; hip hop; nu metal; new metal; alternative metal; pop rock; rapcore; rap metal; rap rock; nu-metal; pop and chart; rock rap,Limp Bizkit,False
c33c2065-b1c3-4406-b066-d33a9e2ea71a,OneRepublic,OneRepublic,rock; pop; pop rock; folk pop; rock and indie; united states,OneRepublic,False
90218af4-4d58-4821-8d41-2ee295ebbe21,Kaiser Chiefs,Kaiser Chiefs,rock; synthpop; british; uk; indie rock; indie; alternative; britpop; dance-pop; post-punk revival; pop rock; english; rock and indie,Kaiser Chiefs,False
82eb8936-7bf6-4577-8320-a2639465206d,Jason Mraz,Jason Mraz,rock; pop; alternative rock; american; acoustic rock; adult contemporary; pop rock; classic pop and rock; united states; singer/songwriter,Jason Mraz,False
b23e8a63-8f47-4882-b55b-df2c92ef400e,Interpol,Interpol,rock; synthpop; alternative rock; american; post-punk; usa; indie rock; new york; américain; post-punk revival; alternative dance; 00s; rock and indie; male vocalists; international pony,Interpol,False
9beb62b2-88db-4cea-801e-162cd344ee53,Beastie Boys,Beastie Boys,rock; rap; punk; american; hip-hop; electro; hip hop; usa; funk; hiphop; hardcore punk; américain; alternative hip-hop; ny; rap rock; us; rock and indie; prank calls; east coast hip hop; new york hardcore,Beastie Boys,False
13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,Nelly Furtado,rock; pop; folk; canadian; hip hop; pop and chart; hip hop rnb and dance hall; r&b; euro/dance-pop,Nelly Furtado,False
fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,Three Days Grace,Three Days Grace,alternative rock; alternative metal,Three Days Grace,False
f2eef649-a6d5-4114-afba-e50ab26254d2,Sum 41,Sum 41,rock; soundtrack; alternative rock; punk; punk rock; canadian; canada; game; video game; pop punk; vgm; rock and indie; scotty doesn't know,Sum 41,False
80cadd99-f560-41e3-babd-16292bbd248a,Marilyn Manson,Marilyn Manson,rock; american; vocalist; songwriter; usa; musician,Marilyn Manson,False
020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,Audioslave,rock; alternative rock; american; hard rock; post-grunge; supergroup; alternative metal; rock and indie; fixme label mess,Audioslave,False
